_time;bale_info_bale_length;bale_info_bale_weight;bale_info_flake_count;bale_info_moisture;bale_info_tag_#;latitude;longitude;Colonne1;;;;
2021-08-01T12:46:49Z;2410;498000;0;110000;38;52.1190479;11.049098;4;;;;
2021-08-01T12:47:57Z;2380;492000;0;110000;39;52.1185923;11.0489776;4;;;;
2021-08-01T12:48:53Z;2370;441000;65;110000;40;52.117585;11.0487041;4;;;;
2021-08-01T12:49:48Z;2370;457000;55;110000;41;52.117585;11.0487041;4;;;;
2021-08-01T12:50:42Z;2400;449000;44;110000;42;52.1170839;11.0485747;4;;;;
2021-08-01T12:51:39Z;2410;455000;44;110000;43;52.1165747;11.048433;4;;;;
2021-08-01T12:52:34Z;2390;437000;46;110000;44;52.1160681;11.0482968;4;;;;
2021-08-01T12:53:29Z;2410;452000;46;110000;45;52.1155152;11.0481866;4;;;;
2021-08-01T12:54:29Z;2370;458000;45;110000;46;52.1150664;11.0480682;4;;;;
2021-08-01T12:59:20Z;2360;433000;44;110000;47;52.1145321;11.0479258;4;;;;
2021-08-01T13:00:53Z;2350;432000;109;110000;48;52.113994;11.0477723;4;;;;
2021-08-01T13:02:46Z;2350;455000;37;110000;49;52.1135361;11.0476639;4;;;;
2021-08-01T13:05:37Z;2330;433000;39;110000;50;52.1130299;11.047527;4;;;;
2021-08-01T13:07:20Z;2330;502000;48;110000;51;52.1130385;11.0473604;4;;;;
2021-08-01T13:09:01Z;2340;480000;52;110000;52;52.1135397;11.0475011;4;;;;
2021-08-01T13:11:12Z;2350;472000;44;110000;53;52.1140256;11.047636;4;;;;
2021-08-01T13:17:29Z;2360;483000;42;110000;54;52.1146321;11.047783;4;;;;
2021-08-01T13:18:10Z;2410;478000;105;110000;55;52.1152047;11.047948;4;;;;
2021-08-01T13:18:52Z;2390;482000;35;110000;56;52.115783;11.048115;4;;;;
2021-08-01T13:19:31Z;2410;477000;33;110000;57;52.1164256;11.0482907;4;;;;
2021-08-01T13:20:15Z;2450;466000;33;110000;58;52.1169884;11.0484538;4;;;;
2021-08-01T13:20:56Z;2390;457000;34;110000;59;52.1175125;11.0486053;4;;;;
2021-08-01T13:21:39Z;2430;449000;34;110000;60;52.118082;11.0487605;4;;;;
2021-08-01T13:40:31Z;2380;469000;34;110000;61;52.1185966;11.048892;4;;;;
2021-08-01T13:42:24Z;2370;452000;67;110000;62;52.1191738;11.049043;4;;;;
2021-08-01T13:43:49Z;2360;451000;33;110000;63;52.1196386;11.048994;4;;;;
2021-08-01T13:45:03Z;2340;484000;45;110000;64;52.1189974;11.0488213;4;;;;
2021-08-01T13:46:22Z;2360;466000;32;110000;65;52.1184457;11.0486658;4;;;;
2021-08-01T13:47:31Z;2340;466000;38;110000;66;52.1177461;11.0484987;4;;;;
2021-08-01T13:48:48Z;2390;461000;28;110000;67;52.1172659;11.0483441;4;;;;
2021-08-01T13:50:04Z;2360;498000;30;110000;68;52.1166729;11.0481805;4;;;;
2021-08-01T13:53:05Z;2380;474000;31;110000;69;52.1161087;11.0480415;4;;;;
2021-08-01T13:53:38Z;2410;478000;75;110000;70;52.1155448;11.0479296;4;;;;
2021-08-01T13:54:09Z;2410;495000;26;110000;71;52.1148704;11.0477318;4;;;;
2021-08-01T13:54:39Z;2490;486000;26;110000;72;52.1143003;11.0475894;4;;;;
2021-08-01T13:55:09Z;2480;487000;25;110000;73;52.1137615;11.0474514;4;;;;
2021-08-01T13:56:05Z;2450;481000;24;110000;74;52.1132557;11.0473132;4;;;;
2021-08-01T13:56:37Z;2470;499000;26;110000;75;52.1130194;11.0470951;4;;;;
2021-08-01T14:00:20Z;2480;498000;30;110000;76;52.1136686;11.0472518;4;;;;
2021-08-01T14:01:22Z;2390;495000;60;110000;77;52.1141777;11.0473901;4;;;;
2021-08-01T14:02:27Z;2320;457000;24;110000;78;52.1147864;11.0475585;4;;;;
2021-08-01T14:03:30Z;2350;470000;27;110000;79;52.1154275;11.0477302;4;;;;
2021-08-01T14:04:34Z;2390;478000;27;110000;80;52.1160018;11.0478908;4;;;;
2021-08-01T14:05:33Z;2340;480000;26;110000;81;52.1166236;11.0480742;4;;;;
2021-08-01T14:06:32Z;2370;470000;25;110000;82;52.1172304;11.0482367;4;;;;
2021-08-01T14:13:21Z;2380;476000;24;110000;83;52.1177667;11.0483867;4;;;;
