_time;bale_info_bale_length;bale_info_bale_weight;bale_info_flake_count;bale_info_moisture;bale_info_tag_#;latitude;longitude;Colonne1;;;;
2021-07-31T08:09:17Z;3200;211000;255;110000;1;52.115374;11.0789732;1;;;;
2021-07-31T08:10:13Z;1960;361000;44;110000;2;52.1151871;11.0823838;1;;;;
2021-07-31T08:11:02Z;2440;445000;40;110000;3;52.1151486;11.0807066;1;;;;
2021-07-31T08:12:04Z;2410;430000;39;110000;4;52.1151879;11.0790403;1;;;;
2021-07-31T08:12:50Z;2430;454000;38;110000;5;52.1154111;11.0798286;1;;;;
2021-07-31T08:23:23Z;2460;402000;29;110000;7;52.1152569;11.0794633;1;;;;
2021-07-31T08:24:14Z;2420;434000;36;110000;8;52.1154789;11.0796259;1;;;;
2021-07-31T08:25:32Z;2440;431000;40;110000;9;52.1154293;11.0815055;1;;;;
2021-07-31T09:38:19Z;2430;421000;33;110000;11;52.1150679;11.0807484;1;;;;
2021-07-31T09:41:43Z;2420;450000;48;110000;12;52.1150852;11.0791695;1;;;;
2021-07-31T09:42:53Z;470;456000;9;110000;13;52.1158427;11.0815084;1;;;;
2021-07-31T09:44:28Z;2460;450000;150;110000;14;52.1158967;11.0790277;1;;;;
2021-07-31T09:50:06Z;2480;450000;44;110000;15;52.1159079;11.0814403;1;;;;
2021-07-31T10:13:07Z;2390;426000;49;110000;16;52.1157337;11.0848456;1;;;;
2021-07-31T10:15:20Z;2320;414000;44;110000;17;52.1158578;11.0857251;1;;;;
2021-07-31T10:17:38Z;2310;441000;43;110000;18;52.1158965;11.0845145;1;;;;
2021-07-31T10:19:04Z;2410;436000;52;110000;19;52.115945;11.0829907;1;;;;
2021-07-31T10:20:00Z;2350;436000;77;110000;20;52.1159666;11.0840417;1;;;;
