latitude,longitude,cluster
53.21447688,6.62298514,0
52.114742480000004,11.0475567,1
52.1188133,11.046007379999999,2
52.03858112,10.89222492,3
51.9307795,11.05706552,4
53.26297222,6.641387,5
53.192108579999996,6.69028046,6
53.35580528,6.49068462,7
52.113074,11.0472576,8
52.11638826,11.08400496,9
52.11840644,11.04605374,10
53.21950004,6.7381445,11
53.1936603,6.6373157,12
52.11682242,11.04819952,13
52.11410568,11.059299020000001,14
53.26619624,6.62678128,15
53.2670599,6.6277117,16
52.03821668,10.89314418,17
53.27640228,6.64975476,18
53.25826556,6.634389840000001,19
53.19085606,6.6978900800000005,20
52.11814412,11.0484214,21
53.24613162,6.64282804,22
52.11117824,11.065303799999999,23
53.26257536,6.65026346,24
52.1188465,11.05920026,25
53.2657288,6.63846586,26
53.21839598,6.62287712,27
53.26054904,6.6369500200000004,28
51.93050843333333,11.061961266666666,29
53.25925528,6.674135440000001,30
53.26889278,6.6393238,31
53.21769466,6.62770534,32
52.1143139,11.044930560000001,33
53.274116140000004,6.6466446800000005,34
52.115584240000004,11.04784726,35
52.11546226,11.047845800000001,36
52.11534176,11.07938626,37
52.1151197,11.05934134,38
53.26795926,6.6351534999999995,39
52.0467973,11.10673264,40
53.260997360000005,6.64770788,41
53.1926122,6.63740426,42
52.1172682,11.04824416,43
53.19171608,6.72527612,44
51.93047592,11.058066759999999,45
53.26103248,6.638504139999999,46
53.19173504,6.68623308,47
51.93041418,11.052939559999999,48
53.26409928,6.635605,49
53.2640692,6.6408158,50
53.2172318,6.62657228,51
52.11774766,11.04599286,52
53.263014319999996,6.6424726199999995,53
53.19560024,6.63800058,54
52.115900520000004,11.08316378,55
52.114978279999995,11.04530724,56
53.27380202,6.60040256,57
53.21738908,6.624438039999999,58
51.9303806,11.059183299999999,59
52.11122644,11.0625275,60
52.11770212,11.048654540000001,61
52.119888859999996,11.05949006,62
53.19128986,6.68803558,63
53.25917954,6.63483424,64
53.1950729,6.64018732,65
53.21752608,6.62096378,66
53.19257638,6.69143742,67
52.0383938,10.894212079999999,68
52.11638504,11.04802366,69
52.11945326,11.0490134,70
52.1157951,11.04535994,71
52.03408902,10.88811366,72
53.26678344,6.62825758,73
53.21795684,6.62133996,74
53.18993224,6.6822405,75
53.26685998,6.65900512,76
53.26596556,6.63763464,77
52.11719308,11.0457581,78
52.114102,11.0474459,79
53.22962518,6.63780736,80
51.9306746,11.0555425,81
53.27237618,6.64502814,82
53.26843996,6.6285836,83
52.02429118,10.88510148,84
52.02989576,10.88610516,85
53.21566862,6.6253393,86
53.254528300000004,6.64055426,87
53.26188814,6.64911936,88
52.11793788,11.05908144,89
53.19119876,6.6868846799999995,90
53.26341112,6.64359742,91
52.04491662,11.10761556,92
52.11614892,11.08537202,93
53.21851368,6.62407504,94
52.03882876,10.894398800000001,95
53.26115522,6.6393216200000005,96
51.930808819999996,11.060420480000001,97
52.11446758,11.0599053,98
51.33339768,5.566818619999999,99
52.0636452,11.10052784,100
53.21483442,6.624034819999999,101
52.1170705,11.05855932,102
51.33416366,5.56820514,103
52.03841552,10.89305394,104
53.2606865,6.6768182199999995,105
52.11649284,11.0456492,106
51.953509,5.926046566666667,107
52.1187215,11.05883586,108
53.19059008,6.6847224999999995,109
52.11637058,11.08301004,110
53.19541296,6.63968642,111
52.1147256,11.04997202,112
52.113709019999995,11.04734072,113
53.261861859999996,6.64157702,114
52.04921504,11.1059472,115
53.2087,6.63294902,116
52.11368818,11.0600284,117
52.11447224,11.04532288,118
52.11547928,11.08118184,119
52.11570836,11.045224600000001,120
52.02792598,10.884874459999999,121
52.11907682,11.0463514,122
53.26015436,6.67497502,123
52.11374344,11.05904374,124
51.93058416,11.0542327,125
52.03851624,10.892122239999999,126
52.11614402,11.08465604,127
52.11414732,11.05840914,128
53.26057446,6.63789832,129
53.25953784,6.63556718,130
52.11443066,11.05874772,131
53.27138444,6.63128948,132
53.1921875,6.68939262,133
53.261901460000004,6.6402207,134
52.1127576,11.07245682,135
52.11897418,11.048311,136
53.19498148,6.63904288,137
53.26159512,6.67801918,138
53.21762414,6.62248868,139
