index,latitude,longitude,cluster,subcluster
1,53.2165266,6.6295984,0,19
2,53.2181349,6.62784,0,9
3,53.2180047,6.6277473,0,9
4,53.2172906,6.6281667,0,47
5,53.2173948,6.62787,0,47
6,53.218119,6.6277975,0,10
7,53.2175637,6.6274227,0,10
8,53.2173911,6.6276892,0,58
9,53.2174117,6.6272162,0,58
10,53.2169587,6.6273548,0,20
11,53.2170171,6.6264562,0,20
12,53.2173706,6.6265331,0,36
13,53.2172663,6.6264743,0,36
14,53.2170933,6.6261816,0,0
15,53.2178021,6.6252293,0,0
16,53.2185617,6.6246057,0,35
17,53.2186311,6.6244372,0,35
18,53.217498,6.6250152,0,46
19,53.2175347,6.624724,0,46
20,53.2155385,6.6262283,0,39
21,53.2155905,6.6260811,0,39
22,53.218648,6.6242291,0,30
23,53.2181967,6.6241887,0,30
24,53.2154393,6.625188,0,7
25,53.2154029,6.6249425,0,7
26,53.2179057,6.6224045,0,14
27,53.2180284,6.6222418,0,14
28,53.2170479,6.6240083,0,60
29,53.2163719,6.6242566,0,60
30,53.2178324,6.6226366,0,12
31,53.2175559,6.6224736,0,12
32,53.2183971,6.6232324,0,27
33,53.2182742,6.6225917,0,27
34,53.2151809,6.6248204,0,53
35,53.2148983,6.6241406,0,53
36,53.2185309,6.6229145,0,21
37,53.2185756,6.6225167,0,21
38,53.2170627,6.6232134,0,43
39,53.2167983,6.6226869,0,43
40,53.2185771,6.6231846,0,52
41,53.2181559,6.6228602,0,52
42,53.2146506,6.6239044,0,28
43,53.2146506,6.6239044,0,28
44,53.2182493,6.6218444,0,6
45,53.2179852,6.6215513,0,6
46,53.2147917,6.6234043,0,55
47,53.2145727,6.6234386,0,55
48,53.2148068,6.6232574,0,61
49,53.2144455,6.6227977,0,61
50,53.2179048,6.6211878,0,66
51,53.217926,6.6209573,0,66
52,53.2180597,6.6211137,0,62
53,53.2175852,6.6210026,0,62
54,53.2175681,6.6212581,0,42
55,53.2172892,6.6212136,0,42
56,53.2142456,6.6227563,0,13
57,53.2143138,6.6226757,0,13
58,53.2174208,6.6210695,0,59
59,53.2174263,6.6203204,0,59
60,53.2440111,6.6395991,0,17
61,53.2445253,6.6398872,0,17
62,53.2449025,6.6406979,0,5
63,53.2454541,6.6414222,0,5
64,53.2458666,6.6422746,0,4
65,53.2459744,6.6425468,0,4
66,53.2465106,6.6433339,0,33
67,53.2466549,6.6434175,0,33
68,53.2468524,6.6445627,0,18
69,53.2472198,6.6451687,0,18
70,53.1965521,6.6410126,0,49
71,53.1964321,6.6409031,0,49
72,53.196395,6.6397527,0,69
73,53.1963291,6.6398725,0,69
74,53.1957592,6.6374231,0,32
75,53.1956523,6.6374049,0,32
76,53.1957575,6.6385665,0,50
77,53.1956413,6.638629,0,50
78,53.1957481,6.6396391,0,8
79,53.1956554,6.6395918,0,8
80,53.1950977,6.6401915,0,38
81,53.194933,6.6403074,0,38
82,53.1950952,6.6390747,0,68
83,53.1950762,6.638696,0,68
84,53.1952451,6.6405094,0,24
85,53.195106,6.6406423,0,24
86,53.1952205,6.6399419,0,23
87,53.1950073,6.6398535,0,23
88,53.1951909,6.6379794,0,56
89,53.1945103,6.6382154,0,56
90,53.1947305,6.6376471,0,51
91,53.1946012,6.6377341,0,51
92,53.1948897,6.6392002,0,29
93,53.194415,6.6396806,0,29
94,53.1948142,6.6386175,0,2
95,53.1924458,6.638158,0,2
96,53.1933519,6.6363578,0,37
97,53.193263,6.6362002,0,37
98,53.1928183,6.6372669,0,44
99,53.1926734,6.6375303,0,44
100,53.1927317,6.6374244,0,11
101,53.1926238,6.6373852,0,11
102,53.1922138,6.6374145,0,57
103,53.1922102,6.6373316,0,57
104,53.2578942,6.6352965,0,34
105,53.2583604,6.6359338,0,34
106,53.2582178,6.6341938,0,22
107,53.2582826,6.6342097,0,22
108,53.2593705,6.6376079,0,65
109,53.2601612,6.6391179,0,65
110,53.2606322,6.6475494,0,41
111,53.2606509,6.6475706,0,41
112,53.2607006,6.647468,0,1
113,53.2613142,6.6476326,0,1
114,53.2615612,6.6482843,0,25
115,53.2616889,6.6483188,0,25
116,53.2615969,6.649312,0,16
117,53.2620558,6.6492787,0,16
118,53.2619303,6.6496986,0,63
119,53.2621213,6.6498358,0,63
120,53.2622965,6.6490232,0,40
121,53.2626029,6.6496752,0,40
122,53.2627194,6.6499996,0,67
123,53.2629523,6.6505655,0,67
124,53.2624809,6.6512412,0,48
125,53.2633182,6.6513263,0,48
126,53.2591725,6.6721323,0,15
127,53.2593274,6.6730644,0,15
128,53.2592266,6.6737998,0,54
129,53.2592647,6.6739581,0,54
130,53.2592647,6.6739581,0,26
131,53.2596329,6.6744902,0,26
132,53.2593931,6.6743203,0,3
133,53.2591273,6.6746409,0,3
134,53.2598108,6.6754576,0,45
135,53.2601586,6.6751836,0,45
136,53.2602555,6.6746335,0,64
137,53.260914,6.6751102,0,64
138,53.2599358,6.6762435,0,31
139,53.2607575,6.6766021,0,31
1,52.1134974,11.0828307,1,49
2,52.0516576,11.1052184,1,49
3,52.111229,11.0674195,1,33
4,52.1112595,11.0673976,1,33
5,52.1085847,11.0612344,1,59
6,52.1111211,11.0618987,1,59
7,52.1108382,11.064384,1,0
8,52.1108382,11.064384,1,0
9,52.1108302,11.0679441,1,68
10,52.1113577,11.0660099,1,68
11,52.1116281,11.0643216,1,23
12,52.112001,11.0635862,1,23
13,52.1107164,11.0687452,1,19
14,52.1151879,11.0790403,1,19
15,52.1121524,11.0628352,1,63
16,52.112273,11.063083,1,63
17,52.1122004,11.0602843,1,43
18,52.1137498,11.0587144,1,43
19,52.0512341,11.1042659,1,61
20,52.0504108,11.1045548,1,61
21,52.1140528,11.0586848,1,40
22,52.1141222,11.0583103,1,40
23,52.1150852,11.0791695,1,45
24,52.1158967,11.0790277,1,45
25,52.1150679,11.0807484,1,30
26,52.1151486,11.0807066,1,30
27,52.115374,11.0789732,1,7
28,52.1154789,11.0796259,1,7
29,52.1152569,11.0794633,1,37
30,52.1154111,11.0798286,1,37
31,52.1145274,11.0596377,1,20
32,52.1146703,11.0598473,1,20
33,52.1147148,11.0589055,1,8
34,52.1146883,11.0585203,1,8
35,52.114051,11.060159,1,66
36,52.1146214,11.0599538,1,66
37,52.1136063,11.058135,1,60
38,52.113568,11.0579754,1,60
39,52.1139122,11.0585452,1,4
40,52.1143441,11.0586885,1,4
41,52.1142489,11.0592871,1,26
42,52.1141461,11.0589689,1,26
43,52.1141999,11.0603311,1,64
44,52.1141803,11.0596958,1,64
45,52.1133837,11.0596709,1,55
46,52.1133631,11.059255,1,55
47,52.1151871,11.0823838,1,31
48,52.1154293,11.0815055,1,31
49,52.1139416,11.0590865,1,16
50,52.1144571,11.0592607,1,16
51,52.0514261,11.1057694,1,2
52,52.0504698,11.1061036,1,2
53,52.1141844,11.060074,1,34
54,52.114528,11.0603365,1,34
55,52.1144319,11.0600092,1,46
56,52.1146575,11.0604765,1,46
57,52.1145671,11.0586074,1,13
58,52.1145671,11.0586074,1,13
59,52.1135166,11.0591939,1,52
60,52.114062,11.0593692,1,52
61,52.1158427,11.0815084,1,53
62,52.1159079,11.0814403,1,53
63,52.1138034,11.0591483,1,28
64,52.1138034,11.0591483,1,28
65,52.113957,11.0594298,1,25
66,52.1143533,11.0589395,1,25
67,52.0493848,11.1049383,1,67
68,52.0482307,11.1053341,1,67
69,52.1159666,11.0840417,1,56
70,52.1162084,11.0843104,1,56
71,52.1160774,11.0832673,1,39
72,52.1162316,11.0833864,1,39
73,52.1164401,11.0847627,1,50
74,52.1165115,11.0847545,1,50
75,52.116405,11.0828069,1,18
76,52.1165494,11.0831107,1,18
77,52.1161383,11.0844029,1,57
78,52.1163568,11.084805,1,57
79,52.1157337,11.0848456,1,3
80,52.116293,11.0843309,1,3
81,52.1164785,11.0836288,1,14
82,52.1165857,11.0838751,1,14
83,52.1163265,11.0831354,1,36
84,52.1165022,11.0826105,1,36
85,52.1158965,11.0845145,1,6
86,52.1163757,11.0838796,1,6
87,52.1158578,11.0857251,1,27
88,52.1160886,11.0856861,1,27
89,52.1161664,11.0854946,1,11
90,52.116275,11.0851493,1,11
91,52.0496523,11.1064355,1,32
92,52.0483376,11.1069245,1,32
93,52.115945,11.0829907,1,17
94,52.1161647,11.0831357,1,17
95,52.1162795,11.0587926,1,54
96,52.1168735,11.0589543,1,54
97,52.0472981,11.1056692,1,48
98,52.0473969,11.1072575,1,48
99,52.1166582,11.0579582,1,35
100,52.1167801,11.0581478,1,35
101,52.1168439,11.0585801,1,10
